id,store_name,food_name,Size,menu_tag,calorie,carbohydrate,protein,fat,salt,P_rate,F_rate,C_rate,P_diff,F_diff,C_diff,PFC_diff
2481,立命館大学生協食堂,ねぎだくもやしナムル,,3,38,1.5,1.9,5,0.8,20,118.421052631579,-38.4210526315789,0,88.4210526315789,-88.4210526315789,176.842105263158
2482,立命館大学生協食堂,ポテト野菜サラダ,,3,95,1.5,5,11.6,0.5,21.0526315789474,109.894736842105,-30.9473684210526,1.05263157894737,79.8947368421053,-80.9473684210526,161.894736842105
2483,立命館大学生協食堂,おでん・こんにゃく,,3,12,0.3,0.3,3,0.9,10,225,-135,-3,195,-185,383
2484,立命館大学生協食堂,オクラ巣ごもり玉子,,3,92,6.7,5.5,3.5,0.6,23.9130434782609,34.2391304347826,41.8478260869565,3.91304347826087,4.23913043478261,-8.15217391304348,16.304347826087
2485,立命館大学生協食堂,道産昆布と大根和え,,3,42,1.8,1.5,6.6,0.9,14.2857142857143,141.428571428571,-55.7142857142857,0,111.428571428571,-105.714285714286,217.142857142857
2486,立命館大学生協食堂,マカロニサラダ,,3,135,1.7,9.6,10.4,0.6,28.4444444444444,69.3333333333333,2.22222222222223,8.44444444444444,39.3333333333333,-47.7777777777778,95.5555555555555
2487,立命館大学生協食堂,ミニサラダ,,3,8,0.4,0,1.9,0,0,213.75,-113.75,-13,183.75,-163.75,360.5
2488,立命館大学生協食堂,れんこんきんぴら,,3,62,1.2,1.4,11.4,1.1,9.03225806451613,165.483870967742,-74.516129032258,-3.96774193548387,135.483870967742,-124.516129032258,263.967741935484
2489,立命館大学生協食堂,春巻き,,3,316,5,23.3,21,0.6,29.493670886076,59.8101265822785,10.6962025316456,9.49367088607595,29.8101265822785,-39.3037974683544,78.6075949367089
2490,立命館大学生協食堂,白菜胡麻和え,,3,19,0.9,0.6,2.7,0.7,12.6315789473684,127.894736842105,-40.5263157894737,-0.368421052631579,97.8947368421053,-90.5263157894737,188.789473684211
2491,立命館大学生協食堂,おでん・厚揚げ,,3,106,7.2,7.6,2,0.9,28.6792452830189,16.9811320754717,54.3396226415094,8.67924528301887,-3.0188679245283,0,11.6981132075472
2492,立命館大学生協食堂,茄子のピリ辛胡麻風味,,3,94,0.8,7.9,5.1,0.8,33.6170212765957,48.8297872340426,17.5531914893617,13.6170212765957,18.8297872340426,-32.4468085106383,64.8936170212766
2493,立命館大学生協食堂,南瓜コロッケ,,3,245,2.2,17.6,18.2,0.4,28.734693877551,66.8571428571428,4.40816326530613,8.73469387755102,36.8571428571428,-45.5918367346939,91.1836734693877
2494,立命館大学生協食堂,豆たっぷりサラダ,,3,97,3.8,5.1,7.2,0.8,21.0309278350515,66.8041237113402,12.1649484536082,1.03092783505154,36.8041237113402,-37.8350515463918,75.6701030927835
2495,立命館大学生協食堂,ごぼうサラダ,,3,144,1.7,12.3,6.5,0.6,34.1666666666667,40.625,25.2083333333333,14.1666666666667,10.625,-24.7916666666667,49.5833333333333
2496,立命館大学生協食堂,卯の花,,3,48,1.8,1.7,6.5,0.6,14.1666666666667,121.875,-36.0416666666667,0,91.875,-86.0416666666667,177.916666666667
2497,立命館大学生協食堂,ほうれん草,,3,16,1.6,0.3,2.5,0,7.5,140.625,-48.125,-5.5,110.625,-98.125,214.25
2498,立命館大学生協食堂,揚げ茄子生姜和え,,3,106,0.8,8.5,6.6,0.5,32.0754716981132,56.0377358490566,11.8867924528302,12.0754716981132,26.0377358490566,-38.1132075471698,76.2264150943396
2499,立命館大学生協食堂,おでん・ロールキャベツ,,3,56,3,2.3,6.4,1.1,16.4285714285714,102.857142857143,-19.2857142857143,0,72.8571428571429,-69.2857142857143,142.142857142857
2500,立命館大学生協食堂,さつま芋天ぷら,,3,386,3.4,18.4,50.9,0.1,19.0673575129534,118.678756476684,-37.7461139896373,0,88.6787564766839,-87.7461139896373,176.424870466321
2501,立命館大学生協食堂,肉みそ豆腐,,3,99,6.7,4.2,8.2,0.7,16.969696969697,74.5454545454545,8.48484848484848,0,44.5454545454545,-41.5151515151515,86.0606060606061
2502,立命館大学生協食堂,小松菜わさび和え,,3,23,1,0.5,3.7,0.3,8.69565217391304,144.782608695652,-53.4782608695652,-4.30434782608696,114.782608695652,-103.478260869565,222.565217391304
2503,立命館大学生協食堂,だし巻き,,3,96,6.6,5.5,3.9,0.9,22.9166666666667,36.5625,40.5208333333333,2.91666666666667,6.5625,-9.47916666666667,18.9583333333333
2504,立命館大学生協食堂,具だくさんの中華スープ,,3,109,6.6,6.2,6.7,2.9,22.7522935779816,55.3211009174312,21.9266055045872,2.75229357798165,25.3211009174312,-28.0733944954128,56.1467889908257
2505,立命館大学生協食堂,ひじき煮,,3,57,2,3,5.5,0.9,21.0526315789474,86.8421052631579,-7.89473684210526,1.05263157894737,56.8421052631579,-57.8947368421053,115.789473684211
2506,立命館大学生協食堂,納豆,,3,63,5.5,3.2,4.3,0.4,20.3174603174603,61.4285714285714,18.2539682539683,0.317460317460316,31.4285714285714,-31.7460317460317,63.4920634920635
2507,立命館大学生協食堂,１５種類のヘルシーサラダ,,3,83,1.7,6.4,4.8,0.6,30.8433734939759,52.0481927710843,17.1084337349398,10.8433734939759,22.0481927710843,-32.8915662650602,65.7831325301205
2508,立命館大学生協食堂,巣ごもり玉子,,3,91,7,5.7,2.5,0.6,25.0549450549451,24.7252747252747,50.2197802197802,5.05494505494505,0,0,5.05494505494505
2509,立命館大学生協食堂,おでん・平天,,3,85,4.4,3.9,7.6,1.7,18.3529411764706,80.4705882352941,1.17647058823532,0,50.4705882352941,-48.8235294117647,99.2941176470588
2510,立命館大学生協食堂,若布コーンサラダ,,3,52,2,0.8,10.7,0,6.15384615384615,185.192307692308,-91.3461538461538,-6.84615384615385,155.192307692308,-141.346153846154,303.384615384615
2511,立命館大学生協食堂,スライスオクラ,,3,17,1.1,0.1,3.8,0,2.35294117647059,201.176470588235,-103.529411764706,-10.6470588235294,171.176470588235,-153.529411764706,335.352941176471
2512,立命館大学生協食堂,南瓜サラダ,,3,101,1.3,7,8.1,0.3,27.7227722772277,72.1782178217822,0.0990099009901115,7.72277227722772,42.1782178217822,-49.9009900990099,99.8019801980198
2513,立命館大学生協食堂,さっぱり揚げ出し茄子,,3,144,1.3,12.2,7.4,0.8,33.8888888888889,46.25,19.8611111111111,13.8888888888889,16.25,-30.1388888888889,60.2777777777778
2514,立命館大学生協食堂,揚げだし豆腐,,3,137,6.5,9,6.9,1,26.2773722627737,45.3284671532847,28.3941605839416,6.27737226277372,15.3284671532847,-21.6058394160584,43.2116788321168
2515,立命館大学生協食堂,茄子おろし和え,,3,148,0.9,13.3,6.4,0.5,35.9459459459459,38.9189189189189,25.1351351351351,15.9459459459459,8.91891891891892,-24.8648648648649,49.7297297297297
2516,立命館大学生協食堂,温泉玉子,,3,80,5.9,5.5,0.6,0.5,27.5,6.75,65.75,7.5,-13.25,5.75,26.5
2517,立命館大学生協食堂,おでん・竹輪,,3,53,2.9,1.4,7.4,1.6,10.5660377358491,125.660377358491,-36.2264150943396,-2.43396226415094,95.6603773584906,-86.2264150943396,184.320754716981
2518,立命館大学生協食堂,肉じゃがコロッケ,,3,285,3.9,21.2,22.4,0.8,29.7543859649123,70.7368421052632,-0.491228070175438,9.75438596491228,40.7368421052632,-50.4912280701754,100.982456140351
2519,立命館大学生協食堂,若布ツナサラダ,,3,67,6.4,3.6,2.9,0.2,21.4925373134328,38.955223880597,39.5522388059701,1.49253731343284,8.95522388059702,-10.4477611940299,20.8955223880597
2520,立命館大学生協食堂,おでん・大根,,3,20,0.5,0.3,3.8,0.9,6,171,-77,-7,141,-127,275
2521,立命館大学生協食堂,鶏きも煮,,3,66,8.6,1.4,4.6,0.5,8.48484848484848,62.7272727272727,28.7878787878788,-4.51515151515152,32.7272727272727,-21.2121212121212,58.4545454545455
2522,立命館大学生協食堂,ブロッコリーピーナッツ和え,,3,48,4,1.7,5.9,0.5,14.1666666666667,110.625,-24.7916666666667,0,80.625,-74.7916666666667,155.416666666667
2523,立命館大学生協食堂,ジャーマンポテト,,3,86,1.3,4.4,10.4,0.7,20.4651162790698,108.837209302326,-29.3023255813954,0.465116279069772,78.8372093023256,-79.3023255813954,158.604651162791
2524,立命館大学生協食堂,大根おろし,,3,9,0.2,0.1,2.1,0,4.44444444444444,210,-114.444444444444,-8.55555555555556,180,-164.444444444444,353
2525,立命館大学生協食堂,ほうれん草おひたし,,3,19,1.8,0.3,3.1,0.3,6.31578947368421,146.842105263158,-53.1578947368421,-6.68421052631579,116.842105263158,-103.157894736842,226.684210526316
2526,立命館大学生協食堂,おでん・牛すじ,,3,40,5.9,1.3,1.4,1,13,31.5,55.5,0,1.5,0,1.5
2527,立命館大学生協食堂,豚汁,,3,105,5.8,3.9,11,1.7,14.8571428571429,94.2857142857143,-9.14285714285715,0,64.2857142857143,-59.1428571428572,123.428571428571
2528,立命館大学生協食堂,インゲン胡麻和え,,3,35,1.4,1.2,4.8,0.5,13.7142857142857,123.428571428571,-37.1428571428571,0,93.4285714285714,-87.1428571428571,180.571428571429
